,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,Monthly_avg_purchase,Monthly_cash_advance,limit_usage,payment_minpay,both_oneoff_installment,installment,none,one_off
BALANCE_FREQUENCY,1.0,0.1401704118593976,0.11056489776850274,0.2115330365216284,0.19911554580000926,0.16227873096105508,0.19508333452090246,0.19134692782830498,0.19759445851484003,0.13653077653819945,0.15334231702624912,0.45272773433963365,-0.15343054455939492,0.19143153677520214,-0.13461359877065465,0.011505911373865241,-0.08571855461144698
ONEOFF_PURCHASES,0.1401704118593976,1.0,0.1614342014282305,0.3940933935443517,0.813939395262316,0.09715702320955424,-0.12878709643850375,-0.14480318866870281,0.5743929230774439,0.7123063302938886,-0.18249062446232367,-0.06324767134208044,0.23677739378127519,0.6611260871209962,-0.5737170102840535,-0.5366711758408754,0.41466207888815015
INSTALLMENTS_PURCHASES,0.11056489776850274,0.1614342014282305,1.0,0.8042107186957078,0.19137954262001175,0.9054428977054824,-0.3101496228931016,-0.33562068119566096,0.782682671613056,0.6875676203343344,-0.3774787386329938,-0.21767780096418543,0.18577319376240675,0.6072769415006328,0.4487444977919414,-0.591238223376818,-0.5596308922657409
PURCHASES_FREQUENCY,0.2115330365216284,0.3940933935443517,0.8042107186957078,1.0,0.5034783385013815,0.8569763613267484,-0.34590168194257903,-0.3825787993278878,0.9218596005224997,0.8171764808661707,-0.4335539118582145,-0.23340204749811794,0.1963502721362231,0.5216022628386306,0.3099309510093647,-0.7080430044707006,-0.19355185364267832
ONEOFF_PURCHASES_FREQUENCY,0.19911554580000926,0.813939395262316,0.19137954262001175,0.5034783385013815,1.0,0.14336150266689382,-0.12325449952717774,-0.14599109011212813,0.6216978210734195,0.6244140712103632,-0.17830021105760616,-0.08112088430838307,0.25954135686769597,0.556322670712655,-0.42573261783407174,-0.3982423747444896,0.23299514958404938
PURCHASES_INSTALLMENTS_FREQUENCY,0.16227873096105508,0.09715702320955424,0.9054428977054824,0.8569763613267484,0.14336150266689382,1.0,-0.29084746519376853,-0.31521469176217287,0.769837489923402,0.6139005804771017,-0.35422562538615815,-0.1915024341564792,0.14158134815460766,0.4867768270857362,0.4466371383641403,-0.5207231176772651,-0.4931427397074913
CASH_ADVANCE_FREQUENCY,0.19508333452090246,-0.12878709643850375,-0.3101496228931016,-0.34590168194257903,-0.12325449952717774,-0.29084746519376853,1.0,0.9364688353322397,-0.3274033833240336,-0.34123796878688717,0.8269312682928476,0.43335863808770414,-0.13102798691206521,-0.10411026508108753,-0.2530790842571704,0.40382032026209613,-0.027924225582951084
CASH_ADVANCE_TRX,0.19134692782830498,-0.14480318866870281,-0.33562068119566096,-0.3825787993278878,-0.14599109011212813,-0.31521469176217287,0.9364688353322397,1.0,-0.35789506650238784,-0.3780100947932339,0.9028054011047331,0.46761325870471515,-0.1467429046756191,-0.10957177929843348,-0.2795317407092485,0.44807157694017524,-0.039110873168898296
PURCHASES_TRX,0.19759445851484003,0.5743929230774439,0.782682671613056,0.9218596005224997,0.6216978210734195,0.769837489923402,-0.3274033833240336,-0.35789506650238784,1.0,0.8998508935120162,-0.414204643157801,-0.19437711071009686,0.2371049913735357,0.6205890565369153,0.16191960908273156,-0.7495160872089986,-0.10524437574957506
Monthly_avg_purchase,0.13653077653819945,0.7123063302938886,0.6875676203343344,0.8171764808661707,0.6244140712103632,0.6139005804771017,-0.34123796878688717,-0.3780100947932339,0.8998508935120162,1.0,-0.42693348321102786,-0.22350325569402213,0.29064258973921414,0.5738807083490555,0.0892512232584262,-0.8282435814327291,0.10664110413848485
Monthly_cash_advance,0.15334231702624912,-0.18249062446232367,-0.3774787386329938,-0.4335539118582145,-0.17830021105760616,-0.35422562538615815,0.8269312682928476,0.9028054011047331,-0.414204643157801,-0.42693348321102786,1.0,0.45184384018380785,-0.1283796933631381,-0.14407093786449032,-0.2956698609034505,0.5160291758230893,-0.05275622292481334
limit_usage,0.45272773433963365,-0.06324767134208044,-0.21767780096418543,-0.23340204749811794,-0.08112088430838307,-0.1915024341564792,0.43335863808770414,0.46761325870471515,-0.19437711071009686,-0.22350325569402213,0.45184384018380785,1.0,-0.47003068614163585,-0.05076543309325544,-0.21338331231215787,0.285236846087352,-0.008639351346787855
payment_minpay,-0.15343054455939492,0.23677739378127519,0.18577319376240675,0.1963502721362231,0.25954135686769597,0.14158134815460766,-0.13102798691206521,-0.1467429046756191,0.2371049913735357,0.29064258973921414,-0.1283796933631381,-0.47003068614163585,1.0,0.19539177385116316,-0.0668477719225711,-0.1266434921777029,-0.020093394223964545
both_oneoff_installment,0.19143153677520214,0.6611260871209962,0.6072769415006328,0.5216022628386306,0.556322670712655,0.4867768270857362,-0.10411026508108753,-0.10957177929843348,0.6205890565369153,0.5738807083490555,-0.14407093786449032,-0.05076543309325544,0.19539177385116316,1.0,-0.38952985157799497,-0.3643772796069142,-0.3448978331324508
